ABV,X,Y
GBD,8,162
CVG,"3,269,979","3,054,991"
SDF,"1,631,494","1,640,297"
LEX,"638,316","606,980"
OWB,"23,537","21,951"
PAH,"20,266","21,027"
HOP,"5,124","3,488"
BWG,"2,186","1,155"
IOB,14,12
SME,6,0
FFT,3,0
CEY,2,0
I35,2,0
LOU,1,8
LOZ,1,6
M21,1,0
PBX,1,453
MSY,"5,569,705","5,329,711"
BTR,"364,200","366,102"
SHV,"270,395","295,257"
LFT,"206,667","243,840"
AEX,"129,776","159,252"
MLU,"102,342","114,170"
LCH,"53,576","69,130"
BAD,"1,503","1,567"
65LA,250,250
CWF,238,1
NBG,198,0
NEW,81,270
HUM,58,68
ARA,40,880
RSN,20,0
HDC,4,22
TVR,4,0
BOS,"17,759,044","16,290,362"
ACK,"126,197","155,952"
ORH,"57,800","59,624"
MVY,"54,084","49,853"
HYA,"31,027","65,790"
BED,"15,105","15,313"
PVC,"10,074","10,841"
EWB,"7,022","7,271"
CEF,"1,479","1,663"
BAF,729,"1,043"
CQX,74,86
OWD,53,42
BVY,51,48
PSF,41,43
0B5,32,19
AQW,15,28
LWM,13,10
PYM,10,31
1B9,3,2
7B2,3,4
GHG,2,0
ORE,1,1
BWI,"12,340,972","11,738,845"
SBY,"58,695","61,782"
HGR,"27,274","25,356"
ADW,"3,038","2,563"
MTN,133,16
GAI,56,21
NHK,53,119
DMW,19,0
ESN,11,19
MD1,5,7
2W5,3,7
2W6,2,0
OXB,2,4
FDK,1,0
PWM,"886,343","858,449"
BGR,"269,013","273,829"
RKD,"16,206","15,730"
PQI,"12,526","12,928"
BHB,"10,094","9,579"
AUG,"5,128","5,120"
70B,"3,000","2,500"
93B,380,0
57B,306,33
CAR,152,27
BST,108,101
IZG,34,42
LEW,32,50
0B1,27,27
BXM,21,42
SFM,20,16
WVL,13,61
IWI,10,10
HUL,8,8
3B1,7,0
ME16,7,7
MVM,6,6
EPM,5,0
PNN,5,0
8B0,2,1
DTW,"16,847,135","16,255,520"
GRR,"1,334,979","1,280,803"
FNT,"398,508","411,763"
TVC,"223,924","210,231"
LAN,"161,863","180,927"
AZO,"154,242","122,081"
MBS,"122,469","119,004"
SAW,"45,462","42,578"
PLN,"25,497","25,197"
CMX,"25,439","25,732"
CIU,"20,974","22,687"
MKG,"18,165","17,087"
ESC,"16,822","16,665"
IMT,"12,604","12,672"
APN,"10,031","10,409"
MGN,"8,014","7,263"
IWD,"5,069","4,697"
MBL,"4,243","4,984"
YIP,"4,093","4,045"
PTK,"3,409","3,100"
MCD,"2,549",169
GLR,975,850
VLL,853,713
BIV,766,738
CVX,750,730
DET,557,499
ANJ,83,103
83D,30,51
LWA,25,23
ARB,16,20
3GM,14,14
35D,12,5
8D4,10,0
PHN,9,0
SJX,9,3
MOP,8,25
ACB,6,2
BEH,6,5
LDM,5,47
4D0,4,9
HLM,4,4
